,file,text
0,MMDM0.wav,"He had fallen into a soft job, and now the job was gone and he was stranded"
1,MCSS0.wav,Paperweight may be personalized on back while clay is leather hard
2,MCDR0.wav,Or certain words or rituals that child and adult go through may do the trick
3,MLEL0.wav,Ralph prepared red snapper with fresh lemon sauce for dinner
4,FEEH0.wav,The cowboy called this breed of cattle magpies
5,MFWK0.wav,The easygoing zoologist relaxed throughout the voyage
6,MKAM0.wav,We'll serve rhubarb pie after Rachel's talk
7,MSMS0.wav,"Some make beautiful chairs, cabinets, chests, doll houses, etc"
8,MGJC0.wav,They close sometime after eight
9,FLKM0.wav,Encourage them to exercise their benefits
10,MMGC0.wav,"In a new house, generous roof overhangs are a logical and effective solution"
11,MJXL0.wav,On the bare floorboards a man lay face down
12,MMBS0.wav,We like bleu cheese but Victor prefers swiss cheese
13,MTQC0.wav,The reasons for this dive seemed foolish now
14,MBWP0.wav,Exboyfriend meet exhusband
15,MFRM0.wav,They enjoy it when I audition
16,MJRH0.wav,Valley Lodge yearly celebrates the first calf born
17,MLSH0.wav,Addition and subtraction are learned skills
18,MTAS0.wav,Calcium makes bones and teeth strong
19,MLJC0.wav,"Unfortunately, there is still little demand for broccoli and cauliflower"
20,MJSR0.wav,This is no spectator-type experience; everyone is to be a participant
21,MJAC0.wav,Vietnamese cuisine is exquisite
22,FCAG0.wav,"A wheel squeaked on a hub, was still, and squeaked again"
23,FJWB1.wav,"Brown eyes, eyebrow mustache"
24,FSAK0.wav,"The poor, unlucky -- the telephone rang"
25,MJPM1.wav,He always seemed to have money in his pocket
26,MPEB0.wav,Afterwards you did well enough
27,MARW0.wav,"He was, thus, an early and spectacular victim"
28,FLHD0.wav,Gregory and Tom chose to watch cartoons in the afternoon
29,MESG0.wav,Our experiment's positive outcome was unexpected
30,FSSB0.wav,Quietly he determined to foil her
31,MTRC0.wav,Be careful not to plow over the flower beds
32,MDMA0.wav,"He took his mask from his forehead and threw it, unexpectedly, across the deck"
33,MRFL0.wav,"If Carol comes tomorrow, have her arrange for a meeting at two"
34,FALR0.wav,The target chart quickly and briefly tells you which additives do what
35,MJDC0.wav,"Ain't she beauty, though"
36,MPRK0.wav,"Psychologically the reception should be the climax, following the sermon"
37,MJJJ0.wav,This brings us to the question of accreditation of art schools in general
38,FBMJ0.wav,Thus far the advances made have been almost entirely along functional lines
39,MGAG0.wav,We'll serve rhubarb pie after Rachel's talk
40,MSTF0.wav,"They also furnish proof that, in modern war, message sending must be monitored"
41,MLJH0.wav,There are more obvious nymphomaniacs on any private-eye series
42,FJXP0.wav,The redcoats ran like rabbits
43,MBMA0.wav,We hope that he will execute it in a manner that will entitle him to credit
44,MRGM0.wav,They remain lifelong friends and companions
45,FDKN0.wav,Pizzerias are convenient for quick lunch
46,MRAB1.wav,A new idea drifted in from nowhere
47,MJWS0.wav,"The word also made him feel hate, sincere hate, for those so labeled"
48,MJMM0.wav,"Within a month, calls were up seventy per cent"
49,MRSP0.wav,Valley lodge yearly celebrates the first calf born
50,FBAS0.wav,Regular attendance is seldom required
51,MGRP0.wav,"When shed, they leave rust marks"
52,MGXP0.wav,Ducks have webbed feet and colorful feathers
53,MSFH0.wav,Perhaps it was right; perhaps it was just
54,MAEB0.wav,He didn't tell her the truth he now freely admitted to himself
55,FKDW0.wav,It would be well to show the populace how we deal with adulterers
56,MTRT0.wav,She was ready for her great adventures and the arrival of her mobile partner
57,FPAF0.wav,Above him slid the evasive shadow of a storm cloud
58,MJLS0.wav,This brings us to the question of accreditation of art schools in general
59,MJEE0.wav,His sarcasm was followed by a stupid grin of his thick mouth and bad teeth
60,MLBC0.wav,Those who are not purists use canned vegetables when making stew
61,MPRT0.wav,We're open every Monday evening
62,MNET0.wav,Special task forces rescue hostages from kidnappers
63,MDCD0.wav,Reading in poor light gives you eyestrain
64,FKLC0.wav,"But the ships are very slow now, and we don't get so many sailors any more"
65,MJLB0.wav,Her classical performance gained critical acclaim
66,MSRG0.wav,The target chart quickly and briefly tells you which additives do what
67,MSMC0.wav,Fold into whipped cream and add a dash of salt and sprinkling of paprika
68,MDNS0.wav,Two gas lamps were no more than a misleading glow
69,MKXL0.wav,You certainly can't expect the infield to do any better than it did last year
70,MPRD0.wav,Destroy every file related to my audits
71,MAKR0.wav,Valley Lodge yearly celebrates the first calf born
72,MILB0.wav,"His dark brows, which had been lowered in anger, smoothed"
73,FNTB0.wav,Good service should be rewarded by big tips
74,MRBC0.wav,The blow encountered silky hair and hard bone
75,MAPV0.wav,"Within a system, however, the autonomy of each member library is preserved"
76,MRTC0.wav,"If it ever got behind me, the beep turned to a buzz"
77,MTJM0.wav,Does Hindu ideology honor cows
78,MCDC0.wav,"He not only knew soldiering, but mathematics, history and literature as well"
79,MTPP0.wav,"When all else fails, use force"
80,FMJF0.wav,"As such, it was beyond politics and had no need of justification by a message"
81,FSLS0.wav,Cut a small corner off each edge
82,MRTJ0.wav,The fish began to leap frantically on the surface of the small lake
83,MTLB0.wav,"You're right now, buddy"
84,MHMR0.wav,We may say of some unfortunates that they were never young
85,MFMC0.wav,The courtyard is magnificently decorated
86,FALK0.wav,The cloudburst cut off abruptly
87,MWDK0.wav,"Watch it, big shot, a hoarse voice yelled back"
88,FLTM0.wav,There were other farmhouses nearby
89,MCDD0.wav,The cranberry bog gets very pretty in Autumn
90,MDWM0.wav,Are planning and strategy development emphasized sufficiently in your company
91,FLAC0.wav,There are many such competently anonymous performances among the earlier poems
92,MMEB0.wav,Are holiday aprons available to us
93,MTKP0.wav,John cleans shellfish for a living
94,MJRH1.wav,Draw each graph on a new axis
95,MDLC0.wav,"Clever light songs were overly coy, tragic songs a little too melodramatic"
96,MBEF0.wav,"Another, longer strip of tinsel whipped his mouth"
97,MRDS0.wav,It is possible to make a few generalizations about the six giants themselves
98,MGAF0.wav,"Stake me, she said, and let me at those dice"
99,MJLG1.wav,And possessed himself -- how
100,MJJB0.wav,Her face turned pink with pleasure and a smothered cough
101,MSFV0.wav,"You gonna give me a drink, fella"
102,MJDA0.wav,Feed pressure is also of major importance
103,FGCS0.wav,This is followed by a boom in conferences
104,MCEF0.wav,A big goat idly ambled through the farmyard
105,MVJH0.wav,Continental drift is a geological theory
106,FGRW0.wav,Most assuredly ideas are invaluable
107,MRJB1.wav,Please shorten this skirt for Joyce
108,FDFB0.wav,"As coauthors, we presented our new book to the haughty audience"
109,MJKR0.wav,Oval face without an expression in the world
110,MCAL0.wav,How much allowance do you get
111,MMJB1.wav,What had been the ambassador's suite was now jagged walls of blackened brick
112,MTPG0.wav,Allow each child to have an ice pop
113,MDTB0.wav,The ramifications of the issue are enormous
114,MRWA0.wav,My mother never wops me
115,MMAR0.wav,"A vigorous program existed in skiing, skating sports and overnight hiking"
116,MDHS0.wav,Publicity and notoriety go hand in hand
117,MLNS0.wav,"He murmured to himself, with firmness: no surrender"
118,FPAZ0.wav,"But it was a hopeful sign, he told himself"
119,MDEF0.wav,Calcium makes bones and teeth strong
120,MDBB1.wav,The legislature met to judge the state of public education
121,MREH1.wav,"You were in a hurry, weren't you"
122,FSJS0.wav,He was gifted with animal magnetism and a potent allure for women of any race
123,FJLG0.wav,"But they would reconsider it, they assured him, if he would rewrite it"
124,MDLH0.wav,Or the bay of female dogs in heat
125,MHJB0.wav,Even a simple vocabulary contains symbols
126,FSKC0.wav,This brochure is particularly informative for prospective buyer
127,FCKE0.wav,Tradition requires parental approval for under-age marriage
128,MDJM0.wav,"He strolled back to the door, whistling softly, hands still clasped behind him"
129,MWGR0.wav,You could also say that in these pamphlets is a relieving quality of maturity
130,FCMG0.wav,Why yell or worry over silly items
131,MAKB0.wav,"His dark brows, which had been lowered in anger, smoothed"
132,MREE0.wav,Please take this dirty table cloth to the cleaners for me
133,MMAM0.wav,I ate every oyster on Nora's plate
134,MDDC0.wav,The two artists exchanged autographs
135,FSJW0.wav,Neglect means spiritual paralysis or death
136,MDSS1.wav,Add things as you find you need 'em
137,FDJH0.wav,"A range of bluffs hugged the horizon, the color of decaying moss"
138,FEME0.wav,"Visually, these approximated what he was feeling within himself"
139,FLJD0.wav,That brings its per-year cost down mighty low
140,MMSM0.wav,Beat me to death in front of a hundred people
141,FJLR0.wav,"Next, the hen was nested and all seemed well"
142,MADC0.wav,The revised procedure was acclaimed as a long-overdue reform
143,MKLS1.wav,Tugboats are capable of hauling huge loads
144,FJKL0.wav,A huge tapestry hung in her hallway
145,FDNC0.wav,You've got no business up here
146,MKDT0.wav,The lack of heat compounded the tenant's grievances
147,MRLJ0.wav,Cliff's display was misplaced on the screen
148,MJHI0.wav,Does society really exist as an entity over and above the agglomeration of man
149,MRMS0.wav,Are your grades higher or lower than Nancy's
150,MEFG0.wav,It was exposed to a high velocity gas jet
151,FMMH0.wav,"His black hat with its wide brim, high crown, and fur trim rode high"
152,FPJF0.wav,Why should this be so
153,MRGS0.wav,Only those story tellers will remain who can imitate the style of the virtuous
154,FDAS1.wav,About dawn he got up to blow
155,MHRM0.wav,Individual human strength is needed to pit against an inhuman condition
156,MJDE0.wav,Westchester is a county in New York
157,MRJT0.wav,We apply auditory modeling to computer speech recognition
158,MJMA0.wav,An adult male baboon's teeth are not suitable for eating shellfish
159,MRLR0.wav,At right is a casual style in a crushed unlined white leather
160,MTJG0.wav,Move the garbage nearer to the large window
161,MDMT0.wav,Intelligence jabbed at him accusingly
162,MTAT1.wav,"If people were more generous, there would be no need for welfare"
163,FCAJ0.wav,Is there any word you would like to offer in your own defense
164,FLMA0.wav,You should firmly insist that no bobby pins or hair pins be worn in the water
165,MKJO0.wav,"If you destroy confidence in banks, you do something to the economy, he said"
166,FSKL0.wav,The full moon shone brightly that night
167,MMAA0.wav,John cleaned shellfish for a living
168,MGMM0.wav,Weakness in leadership
169,MTLS0.wav,They were both very fluent
170,FNMR0.wav,Keep the desserts simple; fruit does nicely
171,FRNG0.wav,Call an ambulance for a medical assistance
172,MPLB0.wav,Hispanic costumes are quite colorful
173,FLKD0.wav,"He murmured to himself, with firmness: no surrender"
174,FREW0.wav,A lone star shone in the early evening sky
175,MJRF0.wav,Alice's ability to work without supervision is noteworthy
176,FCRH0.wav,That pickpocket was caught red-handed
177,MLLL0.wav,The toddler found a clamshell near the camp site
178,FADG0.wav,Withdraw all phony accusations at once
179,MKCL0.wav,I just saw Jim near the new archeological museum
180,FJMG0.wav,This was easy for us
181,MTEB0.wav,"It's a streamlined rifle, fast and well-made"
182,FMCM0.wav,Technical writers can abbreviate in bibliographies
183,MDLS0.wav,"If you are a life tenant, you deduct allowable depreciation and depletion"
184,MDRM0.wav,"His talk turns to what he calls the mess, or sometimes this buzzing confusion"
185,FDMS0.wav,But she suffered in her off-duty hours
186,FEDW0.wav,"Clever light songs were overly coy, tragic songs a little too melodramatic"
187,FGJD0.wav,She uses both names interchangeably
188,MLJB0.wav,The sound of Jennifer's bugle scared the antelope
189,MROA0.wav,They played crack the whip a few minutes without mishap
190,FJLM0.wav,Then simmer fifteen minutes longer
191,FLBW0.wav,"A bullet, she answered"
192,MPWM0.wav,Yet one has to go back only some sixty years
193,FCFT0.wav,New self-deceiving rags are hurriedly tossed on the too-naked bones
194,MBNS0.wav,Pretty soon a woman came along carrying a folded umbrella as a walking stick
195,MRKO0.wav,These exclusive documents must be locked up at all times
196,FSEM0.wav,Somebody with no vices
197,MPCS0.wav,"She wore warm, fleecy, woolen overalls"
198,MJDM1.wav,That'll be plenty to eat by
199,FMAF0.wav,"If the other pilots were worried, they did not show it"
200,MJVW0.wav,The lower portion provides a rating at any stage between infancy and adulthood
201,MJMP0.wav,"There was a grunt, curiously inarticulate, like that of an animal in pain"
202,MKCH0.wav,Students' choices of ideal educational goals are not arbitrary or whimsical
203,MCSH0.wav,These were heroes nine feet tall to him
204,MCTW0.wav,The instinct to discipline has been lost
205,MJBR0.wav,Her face seemed to float in an implausibly bright shaft of sunlight
206,FCMH0.wav,Scholastic aptitude is judged by standardized tests
207,MGLB0.wav,He ignores guidebook facts
208,MMJR0.wav,Not when I was a kid
209,MMAB0.wav,No return address whatsoever
210,MMWH0.wav,"Solid concrete blocks, relatively heavy and dense, are used for this shelter"
211,MBDG0.wav,To keep 'em scattered somewhat and yet herd 'em was called loose herdin'
212,MTAA0.wav,Maybe it would work the other way
213,MMDH0.wav,Critical equipment needs proper maintenance
214,MBWM0.wav,Do this exercise six times each class period
215,MJES0.wav,Cottage cheese with chives is delicious
216,MHPG0.wav,The avalanche triggered a minor earthquake
217,MGJF0.wav,Agricultural products are unevenly distributed
218,MWJG0.wav,Amoebas change shape constantly
219,MRTK0.wav,They had chosen this night purposely
220,MTHC0.wav,The oasis was a mirage
221,MJJG0.wav,"Below is a specific guide, keyed to the calendar"
222,FPKT0.wav,Only ingenuity will uncover it
223,FKMS0.wav,Beat me to death in front of a hundred people
224,MLNT0.wav,Norwegian sweaters are made of lamb's wool
225,MTDT0.wav,"No, the man was not drunk; he wondered how he got tied up with this stranger"
226,FSLB1.wav,They make us conformists look good
227,MRCZ0.wav,They own a big house in the remote countryside
228,MTMR0.wav,We could barely see the fjords through the snow flurries
229,MWVW0.wav,Nobody in his right mind punishes a quarter-century-old dereliction
230,MDLD0.wav,"One looked down on a sea of leaves, a breaking wave of flower"
231,FDRD1.wav,"Davy Mathews It's disgusting, the way you're always eating"
232,FJWB0.wav,The population can thereby replenish itself and actually grow larger
233,MTAS1.wav,"But the ships are very slow now, and we don't get so many sailors any more"
234,FJAS0.wav,We may say that his problem was diagnosed but that he refused treatment
235,MGWT0.wav,Yet we no longer feel uneasy
236,MJAR0.wav,For an instant the old aunt felt something indefinable flash through her smile
237,FPAS0.wav,Why single me out on this permit deal
238,MCEM0.wav,And you think you have language problems
239,FCMR0.wav,At right is a casual style in a crushed unlined white leather
240,MPGL0.wav,Please take this dirty table cloth to the cleaners for me
241,MMDM2.wav,"Propriety was synonymous with ritual observance, the mark of a true gentleman"
242,MMDB1.wav,"Although always alone, we survive"
243,MCCS0.wav,"The tale, he thought, would become less gay"
244,MRGG0.wav,"He could pick up another pack on his way home, if he were going home"
245,MDBB0.wav,The prospect of cutting back spending is an unpleasant one for any governor
246,MABW0.wav,Norwegian sweaters are made of lamb's wool
247,MWEW0.wav,"I'd ride the subway, but I haven't enough change"
248,MPDF0.wav,Calcium makes bones and teeth strong
249,MBJK0.wav,"Draw every outer line first, then fill in the interior"
250,FRAM1.wav,These programs emphasize the acceptance of biracial classrooms peacefully
251,FJRE0.wav,"Thank you, she said, dusting herself off"
252,FNLP0.wav,"Oh, the time of death"
253,MDRB0.wav,Women may never become completely equal to men
254,MCRC0.wav,"As a rule, the autistic child doesn't enjoy physical contact with others"
255,MCTT0.wav,Will you please confirm government policy regarding waste removal
256,FJSA0.wav,Individual human strength is needed to pit against an inhuman condition
257,FAWF0.wav,A few years later the dome fell in
258,MRRK0.wav,Now a distinguished old man called on nine divinities to come and join us
259,MRJM3.wav,In the pity for them his loneliness was gone
260,FASW0.wav,Have you got enough blankets
261,FMAH0.wav,"Said you wore yourself out, cleaning all these empty rooms"
262,MKLT0.wav,"To prepare mustard cream, blend mustard with enough water to make a thin paste"
263,MCMB0.wav,Please dig my potatoes up before frost
264,MAHH0.wav,A new idea drifted in from nowhere
265,MDAC2.wav,He always seemed to have money in his pocket
266,FHES0.wav,Cliff's display was misplaced on the screen
267,MRWS1.wav,"We knew that it was, as reassurance, the ironic fruit of a deeply moral nature"
268,MFGK0.wav,Only the most accomplished artists obtain popularity
269,FCAL1.wav,"Seeds of soybean, cotton, corn, sesame, and rape yield semidrying oils"
270,FGMD0.wav,You should firmly insist that no bobby pins or hair pins be worn in the water
271,MSFH1.wav,The proof that you are seeking is not available in books
272,MDWA0.wav,Barb's gold bracelet was a graduation present
273,FJCS0.wav,Conservatism and traditionalism seem implied by what has just been said
274,MBPM0.wav,Last year's gas shortage caused steep price increases
275,MDWK0.wav,The failure to keep these two usages distinct presents hazards to the reader
276,MLIH0.wav,And these hardy travelers are not unappreciated today
277,FHEW0.wav,The shutter consists of two parts: a fast-opening part and a fast-closing part
278,MRPP0.wav,But she suffered in her off-duty hours
279,FUTB0.wav,Equipment: basic pottery studio equipment
280,MERS0.wav,They often threw tidbits overboard
281,MRMS1.wav,Swing your arm as high as you can
282,MRCS0.wav,He will say that our country is even now a homogeneous community
283,FGWR0.wav,"He had fallen into a soft job, and now the job was gone and he was stranded"
284,MKJL0.wav,"But they would reconsider it, they assured him, if he would rewrite it"
285,MRPC0.wav,Historians have had two reasons for persisting so long in their investigations
286,MCHH0.wav,The emperor had a mean temper
287,MTWH0.wav,There are many such competently anonymous performances among the earlier poems
288,FMML0.wav,"Accident, murder, suicide -- take your pick"
289,FCAU0.wav,Iris thinks the zoo has eleven Spanish zebras
290,MRJM4.wav,Swing your arm as high as you can
291,MPAB0.wav,"Well, Junior, didn't he eat only one and Mr Henry didn't even do that well"
292,MKDR0.wav,No more startling contrast to a system of sullen satellites could be imagined
293,FLAS0.wav,The revised procedure was acclaimed as a long-overdue reform
294,FDHC0.wav,Those who are not purists use canned vegetables when making stew
295,MGRT0.wav,We saw eight tiny icicles below our roof
296,FISB0.wav,Steve wore a bright red cashmere sweater
297,FSXA0.wav,The clouds bulged downward and burst suddenly into a great black funnel
298,MNLS0.wav,Others invoked technology and common sense
299,MDLF0.wav,Did you buy any corduroy overalls
300,FTLH0.wav,"They also furnish proof that, in modern war, message sending must be monitored"
301,MDVC0.wav,It cost us a hundred thousand dollars and thirty days lost time to fix them
302,MNJM0.wav,Hiring the wife for one's company  may win her tax-aided retirement income
303,MJFC0.wav,Just drop notices in any suggestion box
304,MDSC0.wav,A huge power outage rarely occurs
305,MRJS0.wav,How will we work it out
306,FLNH0.wav,Dogs did something to one's ego
307,MJDH0.wav,Get a calico cat to keep
308,MESD0.wav,He will allow a rare lie
309,MCMJ0.wav,Steph could barely handle the psychological trauma
310,FMGD0.wav,"He admitted his behavior, and defended it"
311,FDRW0.wav,"He had left her inviolate, thinking familiarity would gentle her in time"
312,MRJR0.wav,"""Infectious hepatitis"", he shouted heartily"
313,MPAM1.wav,"If Carol comes tomorrow, have her arrange for a meeting at two"
314,MRJO0.wav,We of the liberal-led world got all set for peace and rehabilitation
315,FAKS0.wav,I'd rather not buy these shoes than be overcharged
316,MSJS1.wav,Aim to balance your employee benefit package
317,MWBT0.wav,Dogs did something to one's ego
318,MREB0.wav,She sounded as though they already existed
319,FELC0.wav,Scholastic aptitude is judged by standardized tests
320,FDAC1.wav,That stinging vapor was caused by chloride vaporization
321,MJSW0.wav,Have you got our keys handy
322,FJEM0.wav,Encourage them to exercise their benefits
323,MDAB0.wav,To his surprise his plan worked perfectly
324,MSTK0.wav,What it does: aids in preventing foamy bloat
325,MJTC0.wav,"To date, the one meat showing favorable results at sterilization doses is pork"
326,FMLD0.wav,"The saw is broken, so chop the wood instead"
327,FCMH1.wav,He ate four extra eggs for breakfast
328,MJLN0.wav,He wasn't likely to come down with hot chills and puzzling striped fever
329,MRES0.wav,The misquote was retracted with an apology
330,FJSJ0.wav,The new birth is immediate and instantaneous
331,MDAW1.wav,We've all been rich and spoiled long enough to hate the machine age
332,MSLB0.wav,Why accuse a shipmate of being behind this
333,MJTH0.wav,Do you know where might have gone
334,MAJC0.wav,"She looked crestfallen, as if he had somehow disappointed the whole human race"
335,MPAM0.wav,Her right hand aches whenever the barometric pressure changes
